Company,Cap,Div,P/E_Ratio,TotalMarketCap
STAN.L,22633788637,2.33762563,46.49188189,1.97E+12
CRDA.L,6533700041,1.757828994,27.45452675,
ANTO.L,8342319353,3.9658355,21.52480463,
MRW.L,5050155167,3.126480341,20.87618671,
EZJ.L,3910911278,5.951655495,20.65449969,
BNZL.L,7026441281,2.404214559,21.35952125,
SGE.L,8183126916,2.209240574,26.45963606,
SVT.L,4605632634,4.812886598,17.76638124,
BLND.L,5266246533,5.583573487,27.35084464,
ICAG.L,9786552922,7.881298981,4.085719623,
REL.L,35180242662,2.336293008,25.36420579,
SMIN.L,5889727898,3.01512605,19.80850667,
AZN.L,76974029387,3.66734833,39.23475706,
HSBA.L,1.32E+11,6.055517892,12.00566301,
WPP.L,12086383876,6.264355815,11.43901303,
FRES.L,5429431964,2.890282302,19.71912743,
SGRO.L,7847658105,2.614742698,6.862389524,
SJP.L,5946351253,4.305357143,34.53379378,
TW.L,5767066068,3.548478817,8.791620838,
AHT.L,9506288897,1.673228346,13.19720469,
HLMA.L,6871580509,0.833149171,45.06972112,
III.L,10391686928,3.277153558,8.355434553,
HIK.L,4092456672,1.745203202,18.43678509,
EVRE.L,8554640599,15.30660002,4.538637725,
CNA.L,5411650420,12.67159451,29.1026429,
BKGH.L,4795498069,1.087436104,7.411203139,
SMDS.L,4401573610,4.672897196,14.96433733,
NG.L,27813123290,5.706575074,18.54160033,
RB.L,44381005787,2.722922316,20.51676458,
SKG.L,5220350094,3.904,,
MRON.L,8618544304,2.593010147,,
HSX.L,4795211764,1.944273844,48.47714453,
NMC.L,5110382300,0.739077174,26.19097135,
BHPB.L,98557723655,4.714949075,12.99023191,
CPG.L,28568512487,2.137701277,24.29745153,
AUTOA.L,5461927868,1.037767948,31.32761286,
AV.L,16360616734,7.180469124,11.01677038,
DGE.L,79042774794,2.000300797,27.74786956,
INF.L,9633841518,2.845634096,38.80010083,
UU.L,5341913867,5.137860608,14.4747053,
TUIT.L,4631137197,8.035714286,8.428895307,
WTB.L,7908816523,2.190591339,39.76051044,
PRU.L,42209596084,2.992722862,14.11343815,
MKS.L,4407057210,6.895280236,153.220339,
IMB.L,20507656459,10.35292746,13.19426064,
EXPN.L,21203533896,1.558737852,38.92430678,
BRBY.L,7509120746,2.328767123,22.30124398,
SLA.L,6470232524,8.544474,,
GSK.L,77041339992,5.179334456,19.0792643,
LAND.L,6425508080,5.290791599,,
BP.L,1.14E+11,5.62481707,14.56155402,
JE.L,4316687804,0,52.49544023,
ABF.L,20227275376,1.774951076,22.07019271,
AAL.L,27340231541,3.95086482,9.027661008,
ADML.L,6002296024,4.381968008,15.08548196,
CCL.L,28373471891,3.882424179,11.55873982,
RTO.L,7082945256,1.167362924,,
RMV.L,5024834360,1.151053657,31.92018541,
SBRY.L,4571337693,5.311443747,23.40641953,
PHNX.L,4947463288,6.705539359,12.44737988,
PPB.L,4504532677,3.431182427,23.89303756,
IHG.L,9141711974,1.783311557,33.57326516,
BT.L,20183069041,7.571288102,9.329847255,
MNDI.L,8062223417,3.993242853,11.12620732,
BATS.L,68388907588,6.677846721,11.46228192,
PSON.L,6135687226,2.356087621,10.39421779,
CRH.L,20247266837,2.446881752,16.64051795,
SPX.L,6327964891,1.164144354,28.41519932,
PSN.L,6714350797,11.14800759,7.571512722,
RIO.L,78961879207,5.020056071,7.447168809,
JMAT.L,6082755705,2.593063952,18.13189032,
RDSb.L,2.07E+11,5.862732539,11.46024854,
CCH.L,10053755366,1.815552774,26.08587745,
RSA.L,5847616436,3.703703704,17.9260196,
RR.L,17483579938,0,,
SN.L,14258086889,1.696932515,27.35042477,
SSE.L,10813153353,9.148325359,97.10993402,
SMT.L,7592943164,0.610136452,8.19397192,
ITV.L,4496382070,7.162041182,9.620187753,
HRGV.L,11378903814,1.350562734,47.25510666,
KGF.L,4754087257,4.802485575,22.12511048,
LLOY.L,42775389657,5.304031725,11.00763914,
MCRO.L,6682307397,5.52521519,,
RBS.L,27265449931,2.43902439,17.72798742,
SDR.L,8327695689,3.709729906,17.11167414,
NXT.L,8043282465,2.791878173,13.62297327,
ITRK.L,8156808639,1.96082311,28.92942799,
BDEV.L,6055229171,4.606365159,8.360407797,
GLEN.L,37608879654,5.609092395,14.6070128,
VOD.L,33676805240,6.210532807,,
BARC.L,27113082602,4.140127389,17.10612334,
RDSa.L,2.07E+11,5.862732539,11.46024854,
FERG.L,12631892749,2.76986755,17.38355814,
DLGD.L,4428875000,6.519714374,9.399165426,
BAES.L,14762284315,4.815618221,14.83030401,
DCC.L,6942926037,1.957967733,25.78982714,
ULVR.L,1.37E+11,2.890970322,15.34286656,
OCDO.L,8734615831,0,,
LSE.L,18422308276,1.146110057,38.75655442,
TSCO.L,23200793353,2.435626847,17.48855751,
LGEN.L,16219741007,6.034546123,9.202827477,
