Date,.FTSE,AAL.L,AZN.L,BATS.L,BP.L,DGE.L,HSBA.L,GLEN.L,GSK.L,LLOY.L,PRU.L,RB.L,RDSa.L,RDSb.L,RIO.L,ULVR.L
19/05/2014,6844.55,1565.5,4287.5,3528,509.1,1919,632.9,325.93743,1597.2471,72.88585252,1384.636545,4984.7451,2358.5,2592,3225,2726
20/05/2014,6802,1533,4308.5,3503.5,506.3,1897.5,627.1,325.8379375,1595.768168,73.55570492,1384.636545,4955.42307,2343,2553.5,3203,2694
21/05/2014,6821.04,1546.5,4420,3526,509.3,1911,618.5,324.7932663,1610.557493,73.23062949,1392.080828,4955.42307,2352.5,2551.5,3189.5,2695
22/05/2014,6820.56,1538,4275,3543,508.2,1924.5,616.1,327.13134,1608.092605,73.69361571,1389.5994,4926.10104,2368.5,2456.5,3230,2668
23/05/2014,6815.75,1573.5,4328,3515.5,507,1902,614.8,327.9770263,1604.641763,74.82645435,1374.21455,4887.005,2353,2444.5,3257.5,2664
26/05/2014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27/05/2014,6844.94,1557,4252,3537.5,504.2,1900,621.2,326.932355,1611.543448,75.99869606,1389.103115,4940.762055,2344.5,2435.5,3236,2661
28/05/2014,6851.22,1527.5,4255,3537,506.1,1880.5,629.2,326.3354,1585.908618,76.74735464,1395.554826,4935.87505,2342.5,2442.5,3177.5,2672
29/05/2014,6871.29,1545,4288,3579,505.6,1904.5,627.9,326.5841313,1593.796258,76.2548161,1379.67369,4989.632105,2359.5,2450.5,3188.5,2683
30/05/2014,6844.51,1457.5,4283.5,3600.5,503,1919,629.2,321.7089988,1578.513955,76.69810078,1375.207121,4984.7451,2345,2435,3057,2680
02/06/2014,6864.1,1491.5,4370.5,3584.5,504.9,1907,626.8,326.1861613,1571.119293,76.23511456,1378.681119,5004.29312,2356.5,2448.5,3120,2679
03/06/2014,6836.3,1458,4349,3569.5,503.2,1916.5,624,323.4501175,1559.78081,75.90018835,1363.792554,4999.406115,2370.5,2470,3119,2692
04/06/2014,6818.63,1461,4348.5,3568.5,497.85,1907,623,323.15164,1558.794855,76.87541466,1359.82227,4999.406115,2343.5,2446,3129,2684
05/06/2014,6813.49,1454,4296,3535,499.7,1905,620.9,322.8531625,1559.78081,77.62407323,1363.296269,4999.406115,2349,2443.5,3144,2676
06/06/2014,6858.21,1465,4328,3541,505,1875,624,323.350625,1565.69654,78.95392728,1372.725693,4955.42307,2361.5,2467,3168.5,2632
09/06/2014,6875,1471.5,4327,3531.5,505.6,1891.5,628.3,324.6440275,1576.049068,77.64377477,1369.74798,5004.29312,2367.5,2469.5,3172.5,2656
10/06/2014,6873.55,1452,4348,3545.5,507.2,1905,624.9,321.55976,1582.950753,77.27929625,1358.829699,5014.06713,2367.5,2471.5,3148.5,2685
11/06/2014,6838.87,1464.5,4400,3543,506,1907,620.9,322.554685,1588.866483,77.88019327,1359.82227,5009.180125,2355,2467,3156.5,2678
12/06/2014,6843.11,1418,4422.5,3555.5,508.3,1923,621,318.376,1592.810303,78.29392564,1361.311127,5072.71119,2372.5,2483.5,3058,2692
13/06/2014,6777.85,1410,4385,3520,507.5,1894.5,616.4,316.38615,1582.457775,76.4222792,1336.993137,5062.93718,2371,2483,3017.5,2664
16/06/2014,6754.64,1422,4358,3514.5,505.6,1884,612,320.8633125,1573.091203,75.5160083,1336.496852,5072.71119,2379,2494,3025,2657
17/06/2014,6766.77,1422,4366,3544.5,506.1,1888.5,612.1,323.6491025,1564.217608,76.8261608,1340.467136,5106.920225,2371.5,2489,3049,2673
18/06/2014,6778.56,1437.5,4395.5,3542,514.4,1858,610.1,323.9973263,1556.822945,76.50108537,1345.429991,5058.050175,2407.5,2533,3079.5,2668
19/06/2014,6808.11,1451.5,4444,3585,515.7,1853,610.3,323.748595,1567.66845,76.24496533,1335.504281,5111.80723,2410.5,2541.5,3080,2681
20/06/2014,6825.2,1456.5,4470,3596,518.6,1854,609.4,326.3354,1569.147383,75.55541138,1335.007995,5150.90327,2430,2543.5,3077.5,2687
23/06/2014,6800.56,1470.5,4373.5,3544.5,520,1838.5,606.4,327.7780413,1549.428283,74.32406504,1328.059998,5092.25921,2429.5,2552,3127,2684
24/06/2014,6787.07,1457,4353,3560,523.9,1842,605.4,326.3851463,1554.358058,73.88078036,1319.623145,5087.372205,2433.5,2546,3096,2699
25/06/2014,6733.62,1427.5,4362,3522,516.9,1840.5,601.6,322.5049388,1539.568733,73.41779413,1308.704864,5009.180125,2401,2516.5,3097.5,2659
26/06/2014,6735.12,1428,4345.5,3495,515.5,1833,594.6,322.9029088,1540.554688,74.26496042,1311.186291,4916.32703,2405,2526.5,3135.5,2641
27/06/2014,6757.77,1431,4370,3476,514.6,1847.5,597,322.4551925,1551.400193,74.22555733,1328.059998,4974.97109,2416,2551,3123,2638
30/06/2014,6743.94,1430,4340.5,3478,514.9,1866,592.9,323.8978338,1542.03362,73.14197255,1331.037711,4984.7451,2418.5,2542.5,3108.5,2651
01/07/2014,6802.92,1487,4369.5,3524,515.3,1902.5,598.2,331.50901,1551.89317,74.38316966,1350.392846,4994.51911,2424.5,2555,3202.5,2658
02/07/2014,6816.37,1485,4418.5,3531.5,519.8,1897,601.3,334.2948,1546.470418,74.57033431,1361.311127,4950.536065,2430,2559.5,3239.5,2659
03/07/2014,6865.21,1525,4423,3584,516.9,1904,607.1,339.7668875,1560.273788,75.25988826,1373.221979,5033.61515,2404,2546.5,3297.5,2678
04/07/2014,6866.05,1521,4417.5,3603,519.2,1903,607.3,340.463335,1556.822945,74.55063277,1370.244266,5009.180125,2415.5,2554,3287,2672
07/07/2014,6823.51,1510,4451,3575,513.7,1894.5,603.3,340.7618125,1554.851035,73.97928807,1367.762838,4994.51911,2399,2542.5,3262.5,2658
08/07/2014,6738.45,1500.5,4362,3555.5,510.7,1873,594.5,342.3536925,1529.216205,72.27510473,1369.74798,4930.988045,2391,2528.5,3258.5,2655
09/07/2014,6718.04,1505,4361.5,3547.5,508,1860,596.5,344.3435425,1534.638958,71.81211851,1361.311127,4906.55302,2393,2525.5,3261,2637
10/07/2014,6672.37,1489.5,4345,3521,503.7,1851.5,589,340.9607975,1549.92126,72.01898469,1348.903989,4851.818564,2367.5,2507.5,3214,2598
11/07/2014,6690.17,1479,4353.5,3528,503.8,1846,592.3,341.5577525,1540.06171,71.58555078,1354.36313,4887.005,2389.5,2530,3203.5,2622
14/07/2014,6746.14,1501.5,4369.5,3595.5,503.4,1867,599.4,345.238975,1534.14598,72.05838778,1364.785125,4955.42307,2407,2538.5,3242,2645
15/07/2014,6710.45,1514,4384.5,3532,500.3,1845.5,596.6,344.64202,1521.821543,71.7825662,1354.36313,4887.005,2392.5,2522,3244.5,2612
16/07/2014,6784.67,1564,4371,3508.5,506.6,1839,605.1,357.178075,1521.821543,73.3291372,1383.643974,4916.32703,2420.5,2542,3334.5,2641
17/07/2014,6738.32,1539,4314.5,3535,496.8,1824,599.2,352.20345,1527.737273,72.07808932,1374.710835,4891.892005,2416,2526.5,3315,2641
18/07/2014,6749.45,1537,4340,3532,493.7,1817,599.2,355.0887325,1537.103845,72.32435859,1361.807412,4921.214035,2411,2523.5,3295,2632
21/07/2014,6728.44,1545.5,4390,3500,492.05,1812,597.1,356.5313738,1535.131935,71.50674462,1351.881702,4901.666015,2403.5,2518,3289.5,2642
22/07/2014,6795.34,1600.5,4426,3528.5,498.5,1820,604.9,367.6247875,1533.160025,72.20614934,1367.266553,4974.97109,2418.5,2538,3337,2688
23/07/2014,6798.15,1597,4421,3550,500.8,1824,607.3,371.107025,1460.692333,72.53122477,1371.236837,5009.180125,2424,2547.5,3391,2683
24/07/2014,6821.46,1585,4424.5,3557,503.8,1824.5,621,373.9923075,1448.860873,72.84644943,1379.67369,5018.954135,2435,2557.5,3441.5,2663
25/07/2014,6791.55,1639.5,4392,3539.5,499.1,1797.5,621.7,375.5841875,1403.013965,73.69361571,1386.621687,4955.42307,2418.5,2535.5,3419,2620
28/07/2014,6788.07,1633,4361,3547.5,496.85,1789.5,630.9,370.0623538,1394.633348,73.72316803,1386.621687,5087.372205,2407.5,2517,3422.5,2630
29/07/2014,6807.75,1648,4322.5,3567.5,484.25,1810,637.5,374.1415463,1399.070145,74.50137891,1384.636545,5102.03322,2415.5,2535,3475,2641
30/07/2014,6773.44,1629,4357.5,3523.5,481.75,1789,641.5,369.6146375,1404.985875,75.26973903,1368.259124,5175.338295,2382.5,2489,3434,2601
31/07/2014,6730.11,1599,4344.5,3483,484,1786,636.4,358.2227463,1416.324358,73.14197255,1357.340843,5126.468245,2441,2555.5,3392,2570
01/08/2014,6679.18,1580,4338.5,3443.5,482.95,1778,629.3,354.3425388,1396.605258,72.23570165,1332.526568,5097.146215,2412,2529,3354.5,2567
04/08/2014,6677.52,1585,4362.5,3417.5,484.55,1760.5,635,357.9242688,1409.91565,72.24555242,1338.481994,5033.61515,2414,2538,3360.5,2542
05/08/2014,6682.48,1574,4345.5,3445,482.3,1767.5,634,357.5262988,1425.197953,71.81211851,1328.556284,5072.71119,2433,2567,3351,2562
06/08/2014,6636.16,1570,4190,3447,473.7,1757,632.1,358.2227463,1396.11228,71.15211687,1320.11943,4974.97109,2425.5,2553.5,3390.5,2550
07/08/2014,6597.37,1528.5,4189,3416.5,469.1,1738,628.7,356.4816275,1357.660035,70.84674298,1321.112001,5009.180125,2404,2529.5,3373,2563
08/08/2014,6567.36,1551,4109.5,3418,464.05,1709.5,627.5,363.147625,1360.6179,71.13241533,1316.645432,4930.988045,2380.5,2504,3380,2546
11/08/2014,6632.82,1602.5,4140.5,3448.5,469,1728,625.9,371.70398,1358.153013,72.01898469,1329.052569,4970.084085,2399,2524.5,3502,2563
12/08/2014,6632.42,1586,4129,3448,468.9,1738.5,630.1,373.096875,1358.153013,72.14704471,1358.333414,5018.954135,2376,2495.5,3515,2555
